Timestamp,項目,日高點,日低點,盤高點,盤低點,盤平均,盤漲跌幅
2025-11-05 23:26:59,DDR5 16G (2Gx8) 4800/5600,28.50,11.50,28.50,11.50,17.319,▲ 7.41 %
2025-11-05 23:26:59,DDR4 16Gb (1Gx16)3200,35.00,27.00,35.00,27.00,29.50,▲ 2.31 %
2025-11-05 23:26:59,DDR4 16Gb (2Gx8)3200,36.00,25.00,36.00,25.00,28.00,▲ 4.09 %
2025-11-05 23:26:59,DDR4 8Gb (1Gx8) 3200,15.50,8.00,15.50,8.00,11.071,▲ 4.16 %
2025-11-05 23:26:59,DDR4 8Gb (512Mx16) 3200,12.60,7.80,12.60,7.80,9.525,▲ 1.33 %
2025-11-05 23:26:59,DDR3 4Gb 512Mx8 1600/1866,4.00,2.65,4.00,2.65,3.346,— 0.00 %
2025-11-06 10:48:12,DDR5 16G (2Gx8) 4800/5600,28.50,11.50,28.50,11.50,17.319,▲ 7.41 %
2025-11-06 10:48:12,DDR4 16Gb (1Gx16)3200,35.00,27.00,35.00,27.00,29.50,▲ 2.31 %
2025-11-06 10:48:12,DDR4 16Gb (2Gx8)3200,36.00,25.00,36.00,25.00,28.00,▲ 4.09 %
2025-11-06 10:48:12,DDR4 8Gb (1Gx8) 3200,15.50,8.00,15.50,8.00,11.071,▲ 4.16 %
2025-11-06 10:48:12,DDR4 8Gb (512Mx16) 3200,12.60,7.80,12.60,7.80,9.525,▲ 1.33 %
2025-11-06 10:48:12,DDR3 4Gb 512Mx8 1600/1866,4.00,2.65,4.00,2.65,3.346,— 0.00 %
2025-11-06 11:05:03,DDR5 16G (2Gx8) 4800/5600,28.50,12.00,28.50,12.00,18.013,▲ 4.01 %
2025-11-06 11:05:03,DDR4 16Gb (1Gx16)3200,35.00,27.50,35.00,27.50,30.00,▲ 1.70 %
2025-11-06 11:05:03,DDR4 16Gb (2Gx8)3200,36.00,25.50,36.00,25.50,28.90,▲ 3.21 %
2025-11-06 11:05:03,DDR4 8Gb (1Gx8) 3200,15.50,8.00,15.50,8.00,11.50,▲ 3.88 %
2025-11-06 11:05:03,DDR4 8Gb (512Mx16) 3200,12.60,8.20,12.60,8.20,9.70,▲ 1.84 %
2025-11-06 11:05:03,DDR3 4Gb 512Mx8 1600/1866,4.00,2.70,4.00,2.70,3.372,▲ 0.78 %
2025-11-06 11:22:00,DDR5 16G (2Gx8) 4800/5600,28.50,12.00,28.50,12.00,18.013,▲ 4.01 %
2025-11-06 11:22:00,DDR4 16Gb (1Gx16)3200,35.00,27.50,35.00,27.50,30.00,▲ 1.70 %
2025-11-06 11:22:00,DDR4 16Gb (2Gx8)3200,36.00,25.50,36.00,25.50,28.90,▲ 3.21 %
2025-11-06 11:22:00,DDR4 8Gb (1Gx8) 3200,15.50,8.00,15.50,8.00,11.50,▲ 3.88 %
2025-11-06 11:22:00,DDR4 8Gb (512Mx16) 3200,12.60,8.20,12.60,8.20,9.70,▲ 1.84 %
2025-11-06 11:22:00,DDR3 4Gb 512Mx8 1600/1866,4.00,2.70,4.00,2.70,3.372,▲ 0.78 %
